,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
19.10.2011,7.0347,7.7431,8.3132,8.709,8.9287,9.0213,9.2707,9.6536,10.3414
20.10.2011,7.2625,8.1698,8.8458,9.2312,9.3216,9.3009,9.4048,9.7287,10.3954
21.10.2011,8.0312,9.0393,9.6368,9.7794,9.6878,9.6519,9.742,9.9776,10.4251
24.10.2011,8.5819,9.1813,9.6227,9.8774,9.8649,9.7521,9.6895,9.8567,10.2796
25.10.2011,9.2849,9.6972,9.9113,9.8801,9.7428,9.6959,9.7553,9.939,10.3015
26.10.2011,9.9178,10.3074,10.5012,10.4116,10.1366,9.9577,9.7925,9.7955,9.9176
27.10.2011,9.9646,10.337,10.4905,10.3439,10.0589,9.905,9.7781,9.7843,9.8713
28.10.2011,10.1284,10.389,10.4402,10.2368,9.9643,9.8526,9.7747,9.7719,9.7916
31.10.2011,9.4795,9.9068,10.0907,10.0093,9.8682,9.8331,9.8048,9.7628,9.6613
1.11.2011,9.8405,10.1678,10.3172,10.2565,10.0556,9.9232,9.8234,9.8746,10.0738
2.11.2011,9.4716,10.0143,10.2608,10.1831,9.9684,9.8631,9.7759,9.7705,9.8131
3.11.2011,9.6175,10.0096,10.2065,10.1696,10.0009,9.8872,9.7557,9.7021,9.6723
4.11.2011,7.8441,9.0361,9.6823,9.8658,9.8325,9.8119,9.7555,9.6637,9.4806
10.11.2011,9.3058,9.6262,9.9038,10.0357,9.8897,9.7125,9.524,9.5417,9.7453
11.11.2011,8.6191,9.2388,9.7289,9.9711,9.8419,9.6861,9.5173,9.5195,9.6683
14.11.2011,8.939,9.3604,9.7571,10.0807,10.07,9.8975,9.6803,9.6926,9.9301
15.11.2011,8.9488,9.3717,9.7961,10.2204,10.384,10.304,10.0688,9.8672,9.6215
16.11.2011,8.7047,9.2523,9.7734,10.2299,10.3568,10.2556,10.035,9.9062,9.8181
17.11.2011,8.8715,9.3347,9.8179,10.3052,10.4856,10.3943,10.1442,9.9539,9.7492
18.11.2011,8.1813,8.9845,9.6878,10.2497,10.3749,10.2647,10.0378,9.917,9.8476
21.11.2011,8.7221,9.2333,9.73,10.1984,10.3858,10.3279,10.1355,9.9775,9.7979
22.11.2011,8.682,9.2297,9.7553,10.2369,10.4227,10.3616,10.1626,9.9948,9.7948
23.11.2011,8.8469,9.4026,9.9129,10.3318,10.4685,10.409,10.2177,10.0388,9.8054
24.11.2011,9.2039,9.5866,9.9773,10.3591,10.5101,10.4565,10.2836,10.1393,9.9755
